#1
double Ct(27,37)
0.0	-5	-4	-3	-2	-1	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
2	0.128717	0.128402	0.127976	0.127677	0.127561	0.127629	0.127867	0.128247	0.128729	0.129258	0.129777	0.130225	0.130542	0.130673	0.130570	0.130193	0.129510	0.128500	0.127155	0.125472	0.123467	0.121169	0.118605	0.115809	0.112801	0.109598	0.106205	0.102605	0.098769	0.094663	0.090253	0.085471	0.080247	0.074585	0.068519	0.062126
2.5	0.168397	0.169715	0.171083	0.172538	0.173986	0.175323	0.176451	0.177284	0.177754	0.177804	0.177391	0.176487	0.175078	0.173164	0.170771	0.167935	0.164700	0.161125	0.157265	0.153157	0.148796	0.144149	0.139139	0.133696	0.127741	0.121140	0.113810	0.105805	0.097197	0.088074	0.078501	0.068532	0.058230	0.047709	0.037053	0.026331
3	0.226643	0.229393	0.231723	0.233550	0.234756	0.235255	0.234993	0.233948	0.232126	0.229565	0.226326	0.222484	0.218143	0.213440	0.208473	0.203249	0.197693	0.191672	0.185067	0.177711	0.169360	0.159907	0.149434	0.138024	0.125825	0.112914	0.099398	0.085443	0.071172	0.056685	0.042068	0.027389	0.012700	-0.001958	-0.016522	-0.030881
3.5	0.299075	0.301289	0.302422	0.302406	0.301210	0.298869	0.295464	0.291107	0.285985	0.280362	0.274473	0.268391	0.262007	0.255130	0.247532	0.238852	0.228637	0.216830	0.203516	0.188917	0.173159	0.156385	0.138854	0.120751	0.102214	0.083356	0.064271	0.045044	0.025754	0.006460	-0.012785	-0.031903	-0.050766	-0.069197	-0.086927	-0.103550
4	0.379238	0.378835	0.376828	0.373306	0.368432	0.362520	0.355993	0.349221	0.342334	0.335182	0.327457	0.318711	0.308189	0.295450	0.280436	0.263431	0.244639	0.224405	0.203103	0.180973	0.158152	0.134784	0.110984	0.086862	0.062520	0.038061	0.013566	-0.010909	-0.035298	-0.059484	-0.083286	-0.106436	-0.128554	-0.149119	-0.167467	-0.182809
4.5	0.462045	0.457610	0.451683	0.444801	0.437544	0.430278	0.422940	0.415089	0.406018	0.394702	0.380509	0.363246	0.343190	0.320701	0.296376	0.270674	0.243937	0.216365	0.188092	0.159188	0.129783	0.100004	0.069970	0.039795	0.009565	-0.020663	-0.050818	-0.080761	-0.110260	-0.138960	-0.166409	-0.192073	-0.215232	-0.234926	-0.250010	-0.259496
5	0.545296	0.537969	0.530603	0.523523	0.516328	0.508094	0.497562	0.483752	0.466005	0.444344	0.419336	0.391808	0.362349	0.331374	0.299182	0.266026	0.232071	0.197454	0.162213	0.126478	0.090382	0.054055	0.017608	-0.018892	-0.055386	-0.091750	-0.127731	-0.162918	-0.196784	-0.228774	-0.258236	-0.284215	-0.305420	-0.320331	-0.327933	-0.328268
5.5	0.634417	0.627969	0.621264	0.612780	0.601387	0.585824	0.565236	0.539859	0.510799	0.478901	0.444769	0.408839	0.371429	0.332767	0.293070	0.252557	0.211368	0.169524	0.127130	0.084335	0.041284	-0.001917	-0.045208	-0.088516	-0.131639	-0.174175	-0.215526	-0.255049	-0.292101	-0.325924	-0.355354	-0.378817	-0.394523	-0.401294	-0.399320	-0.390574
6	0.735578	0.726839	0.715209	0.698962	0.676693	0.649128	0.617406	0.582286	0.544379	0.504195	0.462125	0.418443	0.373358	0.327062	0.279804	0.231775	0.183064	0.133686	0.083811	0.033605	-0.016820	-0.067406	-0.118066	-0.168514	-0.218193	-0.266339	-0.312201	-0.355042	-0.394026	-0.427876	-0.454896	-0.473018	-0.480617	-0.477721	-0.466483	-0.450923
6.5	0.836616	0.819394	0.796306	0.768163	0.735696	0.699319	0.659490	0.616641	0.571164	0.523450	0.473790	0.422421	0.369559	0.315437	0.260360	0.204512	0.147873	0.090579	0.032826	-0.025256	-0.083602	-0.142121	-0.200467	-0.257947	-0.313640	-0.366661	-0.416171	-0.461284	-0.500752	-0.532889	-0.555398	-0.565981	-0.564006	-0.551394	-0.532762	-0.512992
7	0.923379	0.893210	0.859907	0.823650	0.784285	0.741493	0.695217	0.645715	0.593258	0.538206	0.480917	0.421690	0.360798	0.298558	0.235326	0.171229	0.106253	0.040624	-0.025491	-0.092007	-0.158843	-0.225631	-0.291594	-0.355648	-0.416743	-0.473917	-0.526240	-0.572594	-0.611418	-0.640346	-0.656398	-0.657833	-0.645755	-0.624799	-0.601049	-0.579120
7.5	0.993425	0.954344	0.913695	0.871240	0.826266	0.778188	0.726411	0.670805	0.611601	0.549205	0.484132	0.416794	0.347553	0.276858	0.205091	0.132281	0.058537	-0.015913	-0.090942	-0.166478	-0.242184	-0.317269	-0.390504	-0.460636	-0.526540	-0.587232	-0.641708	-0.688659	-0.725848	-0.749926	-0.757799	-0.749140	-0.727679	-0.700204	-0.673221	-0.650161
8	1.058549	1.011415	0.963227	0.914208	0.863809	0.810735	0.753864	0.692505	0.626704	0.556910	0.483849	0.408103	0.330166	0.250636	0.169909	0.087938	0.004949	-0.078857	-0.163388	-0.248386	-0.333115	-0.416283	-0.496411	-0.572141	-0.642397	-0.706208	-0.762552	-0.809541	-0.843850	-0.861381	-0.859866	-0.841099	-0.811461	-0.779163	-0.750163	-0.726138
8.5	1.122305	1.067207	1.011341	0.955082	0.898284	0.839959	0.778078	0.711195	0.638918	0.561654	0.480375	0.395899	0.308904	0.220154	0.129994	0.038399	-0.054349	-0.148080	-0.242618	-0.337354	-0.431053	-0.522046	-0.608688	-0.689695	-0.764072	-0.830961	-0.888968	-0.935169	-0.965155	-0.974811	-0.963246	-0.934896	-0.898382	-0.862536	-0.832084	-0.807326
9	1.185738	1.122582	1.058847	0.995008	0.931027	0.866582	0.799502	0.727171	0.648509	0.563696	0.473951	0.380407	0.283976	0.185599	0.085524	-0.016186	-0.119230	-0.223433	-0.328360	-0.432958	-0.535499	-0.634048	-0.726965	-0.813132	-0.891721	-0.961752	-1.021004	-1.065338	-1.089724	-1.090502	-1.068696	-1.031466	-0.989260	-0.950738	-0.919159	-0.894322
9.5	1.248868	1.177878	1.106090	1.034308	0.962814	0.891330	0.818549	0.740704	0.655695	0.563246	0.464772	0.361803	0.255555	0.147124	0.036641	-0.075690	-0.189578	-0.304724	-0.420330	-0.534810	-0.646043	-0.751962	-0.851114	-0.942592	-1.025625	-1.098723	-1.158523	-1.199963	-1.217675	-1.208810	-1.176857	-1.131525	-1.084562	-1.043982	-1.011881	-0.987449
10	1.310753	1.232966	1.153240	1.073234	0.993908	0.914846	0.835616	0.752042	0.660663	0.560476	0.452996	0.340238	0.223775	0.104835	-0.016537	-0.140014	-0.265270	-0.391766	-0.518236	-0.642586	-0.762395	-0.875671	-0.981224	-1.078327	-1.165991	-1.241827	-1.301438	-1.339064	-1.349133	-1.330112	-1.288253	-1.235555	-1.184617	-1.142625	-1.110627	-1.086622
10.5	1.370202	1.287113	1.200281	1.111936	1.024461	0.937489	0.851104	0.761450	0.663572	0.555529	0.438759	0.315838	0.188759	0.058841	-0.073915	-0.209068	-0.346176	-0.484368	-0.621832	-0.756036	-0.884420	-1.005217	-1.117496	-1.220568	-1.312850	-1.390993	-1.449734	-1.482671	-1.484225	-1.454750	-1.403285	-1.343886	-1.289747	-1.247079	-1.215478	-1.191550
11	1.425945	1.339521	1.246699	1.150493	1.054590	0.959390	0.865327	0.769108	0.664559	0.548527	0.422175	0.288713	0.150621	0.009228	-0.135421	-0.282763	-0.432177	-0.582348	-0.730921	-0.875019	-1.012114	-1.140727	-1.260146	-1.369430	-1.466168	-1.546178	-1.603417	-1.630806	-1.623105	-1.583019	-1.522246	-1.456812	-1.400325	-1.357559	-1.326244	-1.302016
11.5	1.478287	1.389036	1.292096	1.188788	1.084384	0.980656	0.878503	0.775237	0.663743	0.539578	0.403344	0.258956	0.109434	-0.043935	-0.200986	-0.361019	-0.523161	-0.685556	-0.845366	-0.999480	-1.145544	-1.282366	-1.409337	-1.524920	-1.625906	-1.707377	-1.762486	-1.783498	-1.765941	-1.715150	-1.645380	-1.574677	-1.516687	-1.474068	-1.442713	-1.417868
12	1.525569	1.435807	1.335411	1.226404	1.113896	1.001379	0.890777	0.780002	0.661259	0.528773	0.382346	0.226642	0.065268	-0.100589	-0.270547	-0.443771	-0.619028	-0.793883	-0.965092	-1.129434	-1.284809	-1.430301	-1.565142	-1.687017	-1.792041	-1.874588	-1.926934	-1.940785	-1.912886	-1.851321	-1.772922	-1.697837	-1.639004	-1.596445	-1.564728	-1.539006
12.5	1.566315	1.479214	1.376488	1.263103	1.143093	1.021619	0.902254	0.783557	0.657210	0.516187	0.359250	0.191837	0.018160	-0.160683	-0.344060	-0.530963	-0.719689	-0.907253	-1.090067	-1.264932	-1.430027	-1.584649	-1.727568	-1.855690	-1.964564	-2.047808	-2.096752	-2.102712	-2.064071	-1.991678	-1.905145	-1.826603	-1.767296	-1.724535	-1.692174	-1.665365
13	1.599400	1.517580	1.415403	1.298085	1.171736	1.041419	0.913010	0.786007	0.651695	0.501886	0.334113	0.154593	-0.031851	-0.224178	-0.421492	-0.622547	-0.825079	-1.025616	-1.220296	-1.406037	-1.581314	-1.745475	-1.896602	-2.030921	-2.143474	-2.227031	-2.271933	-2.269336	-2.219606	-2.136371	-2.042346	-1.961175	-1.901455	-1.858218	-1.824963	-1.796908
13.5	1.624851	1.550529	1.451132	1.331239	1.199665	1.060803	0.923092	0.787425	0.644798	0.485924	0.306984	0.114961	-0.084730	-0.291046	-0.502823	-0.718477	-0.935156	-1.148950	-1.355807	-1.552820	-1.738766	-1.912794	-2.072223	-2.212699	-2.328774	-2.412252	-2.452480	-2.440720	-2.379579	-2.285564	-2.184808	-2.101635	-2.041361	-1.997404	-1.963032	-1.933615
